movie_id,collection_id
11849,1065
708,645
10673,52783
11688,17812
1493,9322
10577,11582
15739,31274
9816,107469
96,85861
90,85861
19933,14128
18935,33056
764,196
580,2366
1547,109076
10019,12495
37302,10908
843,287016
9740,9743
19405,42108
43332,36644
17965,11685
11454,9743
14052,4819
16889,4819
23730,25757
10054,86486
2043,14268
56715,52888
10991,34055
634,8936
10956,35333
9290,9332
1734,1733
808,215
1406,150156
41050,44144
966,110021
12639,11002
10865,10097
1995,2467
10808,3169
9799,9485
60670,3963
10992,87014
4248,4246
26483,33833
24382,42157
11286,10169
11950,10169
12236,10169
26573,42796
20075,33071
20197,33071
11906,12728
2114,14076
8835,86024
